idiom,part_of_speech,word_url
ain't what it used to was,phrase,https://en.wiktionary.org/wiki/ain't_what_it_used_to_was#English
air one's dirty linen in public,verb,https://en.wiktionary.org/wiki/air_one's_dirty_linen_in_public#English
air out,verb,https://en.wiktionary.org/wiki/air_out#English
air rage,noun,https://en.wiktionary.org/wiki/air_rage#English
alarums and excursions,noun,https://en.wiktionary.org/wiki/alarums_and_excursions#English
albatross around one's neck,noun,https://en.wiktionary.org/wiki/albatross_around_one's_neck#English
albatross round one's neck,noun,https://en.wiktionary.org/wiki/albatross_round_one's_neck#English
a life of its own,noun,https://en.wiktionary.org/wiki/a_life_of_its_own#English
a little bird told me,phrase,https://en.wiktionary.org/wiki/a_little_bird_told_me#English
a little bit of bread and no cheese,interjection,https://en.wiktionary.org/wiki/a_little_bit_of_bread_and_no_cheese#English
"a little from column A, a little from column B",noun,"https://en.wiktionary.org/wiki/a_little_from_column_A,_a_little_from_column_B#English"
alive and kicking,adjective,https://en.wiktionary.org/wiki/alive_and_kicking#English
all and some,pronoun,https://en.wiktionary.org/wiki/all_and_some#English
all and sundry,pronoun,https://en.wiktionary.org/wiki/all_and_sundry#English
all bedlam breaks loose,verb,https://en.wiktionary.org/wiki/all_bedlam_breaks_loose#English
all bets are off,phrase,https://en.wiktionary.org/wiki/all_bets_are_off#English
all dressed up and nowhere to go,adjective,https://en.wiktionary.org/wiki/all_dressed_up_and_nowhere_to_go#English
all ends up,adverb,https://en.wiktionary.org/wiki/all_ends_up#English
all good,phrase,https://en.wiktionary.org/wiki/all_good#English
all hat and no cowboy,adjective,https://en.wiktionary.org/wiki/all_hat_and_no_cowboy#English
all heart,adjective,https://en.wiktionary.org/wiki/all_heart#English
all of a heap,adverb,https://en.wiktionary.org/wiki/all_of_a_heap#English
all one's life's worth,noun,https://en.wiktionary.org/wiki/all_one's_life's_worth#English
all one's taste is in one's mouth,phrase,https://en.wiktionary.org/wiki/all_one's_taste_is_in_one's_mouth#English
all over bar the shouting,phrase,https://en.wiktionary.org/wiki/all_over_bar_the_shouting#English
all over oneself,phrase,https://en.wiktionary.org/wiki/all_over_oneself#English
all sixes and nines,prepositional phrase,https://en.wiktionary.org/wiki/all_sixes_and_nines#English
all things to all people,noun,https://en.wiktionary.org/wiki/all_things_to_all_people#English
all-a-mort,adjective,https://en.wiktionary.org/wiki/all-a-mort#English
all along,adverb,https://en.wiktionary.org/wiki/all_along#English
all at once,adverb,https://en.wiktionary.org/wiki/all_at_once#English
all bark and no bite,adjective,https://en.wiktionary.org/wiki/all_bark_and_no_bite#English
all duck or no dinner,phrase,https://en.wiktionary.org/wiki/all_duck_or_no_dinner#English
all ears,adjective,https://en.wiktionary.org/wiki/all_ears#English
all eyes,adjective,https://en.wiktionary.org/wiki/all_eyes#English
all eyes and ears,adjective,https://en.wiktionary.org/wiki/all_eyes_and_ears#English
all fur coat and no knickers,adjective,https://en.wiktionary.org/wiki/all_fur_coat_and_no_knickers#English
