idiom,part_of_speech,word_url
Bob's your uncle,phrase,https://en.wiktionary.org/wiki/Bob's_your_uncle#English
body blow,noun,https://en.wiktionary.org/wiki/body_blow#English
body English,noun,https://en.wiktionary.org/wiki/body_English#English
bogged down,adjective,https://en.wiktionary.org/wiki/bogged_down#English
bog off,verb,https://en.wiktionary.org/wiki/bog_off#English
boiling hot,adjective,https://en.wiktionary.org/wiki/boiling_hot#English
boiling mad,adjective,https://en.wiktionary.org/wiki/boiling_mad#English
boiling frog,noun,https://en.wiktionary.org/wiki/boiling_frog#English
boiling point,noun,https://en.wiktionary.org/wiki/boiling_point#English
boil over,verb,https://en.wiktionary.org/wiki/boil_over#English
boil up,noun,https://en.wiktionary.org/wiki/boil_up#English
boldly go where no man has gone before,verb,https://en.wiktionary.org/wiki/boldly_go_where_no_man_has_gone_before#English
bolt to the bran,verb,https://en.wiktionary.org/wiki/bolt_to_the_bran#English
bolt bucket,noun,https://en.wiktionary.org/wiki/bolt_bucket#English
bomb out,verb,https://en.wiktionary.org/wiki/bomb_out#English
bone dry,adjective,https://en.wiktionary.org/wiki/bone_dry#English
bone in her teeth,noun,https://en.wiktionary.org/wiki/bone_in_her_teeth#English
bone in the throat,noun,https://en.wiktionary.org/wiki/bone_in_the_throat#English
bone-crunching,adjective,https://en.wiktionary.org/wiki/bone-crunching#English
bone-deep,adjective,https://en.wiktionary.org/wiki/bone-deep#English
bone-dry,adjective,https://en.wiktionary.org/wiki/bone-dry#English
bone-idle,adjective,https://en.wiktionary.org/wiki/bone-idle#English
bone-shaking,adjective,https://en.wiktionary.org/wiki/bone-shaking#English
bone hard,adjective,https://en.wiktionary.org/wiki/bone_hard#English
bone of contention,noun,https://en.wiktionary.org/wiki/bone_of_contention#English
booby prize,noun,https://en.wiktionary.org/wiki/booby_prize#English
boogie on down,verb,https://en.wiktionary.org/wiki/boogie_on_down#English
book dumping,noun,https://en.wiktionary.org/wiki/book_dumping#English
book in,verb,https://en.wiktionary.org/wiki/book_in#English
boot camp,noun,https://en.wiktionary.org/wiki/boot_camp#English
booze can,noun,https://en.wiktionary.org/wiki/booze_can#English
bop the bishop,verb,https://en.wiktionary.org/wiki/bop_the_bishop#English
bored out of one's mind,adjective,https://en.wiktionary.org/wiki/bored_out_of_one's_mind#English
borganism,noun,https://en.wiktionary.org/wiki/borganism#English
born and bred,phrase,https://en.wiktionary.org/wiki/born_and_bred#English
born in a barn,adjective,https://en.wiktionary.org/wiki/born_in_a_barn#English
born with a silver spoon in one's mouth,adjective,https://en.wiktionary.org/wiki/born_with_a_silver_spoon_in_one's_mouth#English
borrow trouble,verb,https://en.wiktionary.org/wiki/borrow_trouble#English
borrowed time,noun,https://en.wiktionary.org/wiki/borrowed_time#English
bottle away,verb,https://en.wiktionary.org/wiki/bottle_away#English
bottle up,verb,https://en.wiktionary.org/wiki/bottle_up#English
bottom bitch,noun,https://en.wiktionary.org/wiki/bottom_bitch#English
bottom fall out,verb,https://en.wiktionary.org/wiki/bottom_fall_out#English
bottom fishing,noun,https://en.wiktionary.org/wiki/bottom_fishing#English
bottom line,noun,https://en.wiktionary.org/wiki/bottom_line#English
bottom of the line,noun,https://en.wiktionary.org/wiki/bottom_of_the_line#English
bottom of the ninth,noun,https://en.wiktionary.org/wiki/bottom_of_the_ninth#English
bottom out,verb,https://en.wiktionary.org/wiki/bottom_out#English
bottom the house,verb,https://en.wiktionary.org/wiki/bottom_the_house#English
bounce off,verb,https://en.wiktionary.org/wiki/bounce_off#English
bounce back,verb,https://en.wiktionary.org/wiki/bounce_back#English
bounce off the walls,verb,https://en.wiktionary.org/wiki/bounce_off_the_walls#English
bow-legged wi' brass,adjective,https://en.wiktionary.org/wiki/bow-legged_wi'_brass#English
bow and scrape,noun,https://en.wiktionary.org/wiki/bow_and_scrape#English
bow down,verb,https://en.wiktionary.org/wiki/bow_down#English
bow down before the porcelain god,verb,https://en.wiktionary.org/wiki/bow_down_before_the_porcelain_god#English
bowl a googly,verb,https://en.wiktionary.org/wiki/bowl_a_googly#English
bowl of cherries,noun,https://en.wiktionary.org/wiki/bowl_of_cherries#English
bowl over,verb,https://en.wiktionary.org/wiki/bowl_over#English
bow out,verb,https://en.wiktionary.org/wiki/bow_out#English
box clever,verb,https://en.wiktionary.org/wiki/box_clever#English
box oneself into a corner,verb,https://en.wiktionary.org/wiki/box_oneself_into_a_corner#English
box seat,noun,https://en.wiktionary.org/wiki/box_seat#English
box someone's ears,verb,https://en.wiktionary.org/wiki/box_someone's_ears#English
box the compass,verb,https://en.wiktionary.org/wiki/box_the_compass#English
boy howdy,interjection,https://en.wiktionary.org/wiki/boy_howdy#English
boy in the boat,noun,https://en.wiktionary.org/wiki/boy_in_the_boat#English
boys and girls,noun,https://en.wiktionary.org/wiki/boys_and_girls#English
boys and their toys,noun,https://en.wiktionary.org/wiki/boys_and_their_toys#English
boy toy,noun,https://en.wiktionary.org/wiki/boy_toy#English
brace of shakes,noun,https://en.wiktionary.org/wiki/brace_of_shakes#English
bragging rights,noun,https://en.wiktionary.org/wiki/bragging_rights#English
brain bucket,noun,https://en.wiktionary.org/wiki/brain_bucket#English
brain candy,noun,https://en.wiktionary.org/wiki/brain_candy#English
brain surgery,noun,https://en.wiktionary.org/wiki/brain_surgery#English
branch off,verb,https://en.wiktionary.org/wiki/branch_off#English
branch out,verb,https://en.wiktionary.org/wiki/branch_out#English
brass ceiling,noun,https://en.wiktionary.org/wiki/brass_ceiling#English
brass farthing,noun,https://en.wiktionary.org/wiki/brass_farthing#English
brass-neck,verb,https://en.wiktionary.org/wiki/brass-neck#English
brass-necked,adjective,https://en.wiktionary.org/wiki/brass-necked#English
brassed off,adjective,https://en.wiktionary.org/wiki/brassed_off#English
brass monkey,adjective,https://en.wiktionary.org/wiki/brass_monkey#English
brass monkeys,adjective,https://en.wiktionary.org/wiki/brass_monkeys#English
brass neck,noun,https://en.wiktionary.org/wiki/brass_neck#English
brave out,verb,https://en.wiktionary.org/wiki/brave_out#English
brazen out,verb,https://en.wiktionary.org/wiki/brazen_out#English
bread of life,noun,https://en.wiktionary.org/wiki/bread_of_life#English
bread and butter,interjection,https://en.wiktionary.org/wiki/bread_and_butter#English
bread and circuses,noun,https://en.wiktionary.org/wiki/bread_and_circuses#English
break cover,verb,https://en.wiktionary.org/wiki/break_cover#English
break gates,verb,https://en.wiktionary.org/wiki/break_gates#English
break into a run,verb,https://en.wiktionary.org/wiki/break_into_a_run#English
break one's back,verb,https://en.wiktionary.org/wiki/break_one's_back#English
break one's lance,verb,https://en.wiktionary.org/wiki/break_one's_lance#English
break one's neck,verb,https://en.wiktionary.org/wiki/break_one's_neck#English
break someone's back,verb,https://en.wiktionary.org/wiki/break_someone's_back#English
break the cycle,verb,https://en.wiktionary.org/wiki/break_the_cycle#English
break the Internet,verb,https://en.wiktionary.org/wiki/break_the_Internet#English
break the Sabbath,verb,https://en.wiktionary.org/wiki/break_the_Sabbath#English
break the seal,verb,https://en.wiktionary.org/wiki/break_the_seal#English
break the story,verb,https://en.wiktionary.org/wiki/break_the_story#English
break a leg,interjection,https://en.wiktionary.org/wiki/break_a_leg#English
break a sweat,verb,https://en.wiktionary.org/wiki/break_a_sweat#English
break down,noun,https://en.wiktionary.org/wiki/break_down#English
break even,verb,https://en.wiktionary.org/wiki/break_even#English
break ground,verb,https://en.wiktionary.org/wiki/break_ground#English
break in,verb,https://en.wiktionary.org/wiki/break_in#English
break into,verb,https://en.wiktionary.org/wiki/break_into#English
break it to,verb,https://en.wiktionary.org/wiki/break_it_to#English
break one's duck,verb,https://en.wiktionary.org/wiki/break_one's_duck#English
break out,verb,https://en.wiktionary.org/wiki/break_out#English
break ranks,verb,https://en.wiktionary.org/wiki/break_ranks#English
break someone's heart,verb,https://en.wiktionary.org/wiki/break_someone's_heart#English
break the back of,verb,https://en.wiktionary.org/wiki/break_the_back_of#English
break the bank,verb,https://en.wiktionary.org/wiki/break_the_bank#English
break the buck,verb,https://en.wiktionary.org/wiki/break_the_buck#English
break the deadlock,verb,https://en.wiktionary.org/wiki/break_the_deadlock#English
break the fourth wall,verb,https://en.wiktionary.org/wiki/break_the_fourth_wall#English
break the ice,verb,https://en.wiktionary.org/wiki/break_the_ice#English
break up,noun,https://en.wiktionary.org/wiki/break_up#English
break wind,verb,https://en.wiktionary.org/wiki/break_wind#English
breathe a sigh of relief,verb,https://en.wiktionary.org/wiki/breathe_a_sigh_of_relief#English
breathe a word,verb,https://en.wiktionary.org/wiki/breathe_a_word#English
breathe down someone's neck,verb,https://en.wiktionary.org/wiki/breathe_down_someone's_neck#English
breathe easy,verb,https://en.wiktionary.org/wiki/breathe_easy#English
breath of fresh air,noun,https://en.wiktionary.org/wiki/breath_of_fresh_air#English
bred-in-the-bone,adjective,https://en.wiktionary.org/wiki/bred-in-the-bone#English
breed in the bone,verb,https://en.wiktionary.org/wiki/breed_in_the_bone#English
brick in,verb,https://en.wiktionary.org/wiki/brick_in#English
brick in one's hat,noun,https://en.wiktionary.org/wiki/brick_in_one's_hat#English
bridge the gap,verb,https://en.wiktionary.org/wiki/bridge_the_gap#English
bridge-builder,noun,https://en.wiktionary.org/wiki/bridge-builder#English
bright and early,adverb,https://en.wiktionary.org/wiki/bright_and_early#English
bright lights,noun,https://en.wiktionary.org/wiki/bright_lights#English
bright young thing,noun,https://en.wiktionary.org/wiki/bright_young_thing#English
bright-eyed and bushy-tailed,adjective,https://en.wiktionary.org/wiki/bright-eyed_and_bushy-tailed#English
bright-line rule,noun,https://en.wiktionary.org/wiki/bright-line_rule#English
bright line,noun,https://en.wiktionary.org/wiki/bright_line#English
bring a lump to someone's throat,noun,https://en.wiktionary.org/wiki/bring_a_lump_to_someone's_throat#English
bring about,verb,https://en.wiktionary.org/wiki/bring_about#English
bring down the hammer,verb,https://en.wiktionary.org/wiki/bring_down_the_hammer#English
bring out in a rash,verb,https://en.wiktionary.org/wiki/bring_out_in_a_rash#English
bring to nought,verb,https://en.wiktionary.org/wiki/bring_to_nought#English
bring to one's knees,verb,https://en.wiktionary.org/wiki/bring_to_one's_knees#English
bring to the hammer,verb,https://en.wiktionary.org/wiki/bring_to_the_hammer#English
bring a knife to a gunfight,verb,https://en.wiktionary.org/wiki/bring_a_knife_to_a_gunfight#English
bring down the house,verb,https://en.wiktionary.org/wiki/bring_down_the_house#English
bring forward,verb,https://en.wiktionary.org/wiki/bring_forward#English
bring home,verb,https://en.wiktionary.org/wiki/bring_home#English
bring home the bacon,verb,https://en.wiktionary.org/wiki/bring_home_the_bacon#English
bring it weak,verb,https://en.wiktionary.org/wiki/bring_it_weak#English
bring on,verb,https://en.wiktionary.org/wiki/bring_on#English
bring one's arse to an anchor,verb,https://en.wiktionary.org/wiki/bring_one's_arse_to_an_anchor#English
bring one's own hide to market,verb,https://en.wiktionary.org/wiki/bring_one's_own_hide_to_market#English
bring owls to Athens,verb,https://en.wiktionary.org/wiki/bring_owls_to_Athens#English
bring round,verb,https://en.wiktionary.org/wiki/bring_round#English
bring to bear,verb,https://en.wiktionary.org/wiki/bring_to_bear#English
bring to heel,verb,https://en.wiktionary.org/wiki/bring_to_heel#English
bring to justice,verb,https://en.wiktionary.org/wiki/bring_to_justice#English
bring to light,verb,https://en.wiktionary.org/wiki/bring_to_light#English
bring to the table,verb,https://en.wiktionary.org/wiki/bring_to_the_table#English
bring up the rear,verb,https://en.wiktionary.org/wiki/bring_up_the_rear#English
broad strokes,noun,https://en.wiktionary.org/wiki/broad_strokes#English
broad-beamed,adjective,https://en.wiktionary.org/wiki/broad-beamed#English
broaden someone's horizons,verb,https://en.wiktionary.org/wiki/broaden_someone's_horizons#English
broad in the beam,adjective,https://en.wiktionary.org/wiki/broad_in_the_beam#English
broad shoulders,noun,https://en.wiktionary.org/wiki/broad_shoulders#English
broken record,noun,https://en.wiktionary.org/wiki/broken_record#English
broken vessel,noun,https://en.wiktionary.org/wiki/broken_vessel#English
Bronx cheer,noun,https://en.wiktionary.org/wiki/Bronx_cheer#English
brown bag,noun,https://en.wiktionary.org/wiki/brown_bag#English
brown bread,adjective,https://en.wiktionary.org/wiki/brown_bread#English
browned off,adjective,https://en.wiktionary.org/wiki/browned_off#English
brownie point,noun,https://en.wiktionary.org/wiki/brownie_point#English
brown noser,noun,https://en.wiktionary.org/wiki/brown_noser#English
brown power,noun,https://en.wiktionary.org/wiki/brown_power#English
brown study,noun,https://en.wiktionary.org/wiki/brown_study#English
brown thumb,noun,https://en.wiktionary.org/wiki/brown_thumb#English
brush aside,verb,https://en.wiktionary.org/wiki/brush_aside#English
brush by,verb,https://en.wiktionary.org/wiki/brush_by#English
brush down,verb,https://en.wiktionary.org/wiki/brush_down#English
brush off,noun,https://en.wiktionary.org/wiki/brush_off#English
brush up,verb,https://en.wiktionary.org/wiki/brush_up#English
bubble over,verb,https://en.wiktionary.org/wiki/bubble_over#English
buck fever,noun,https://en.wiktionary.org/wiki/buck_fever#English
buck the trend,verb,https://en.wiktionary.org/wiki/buck_the_trend#English
bucket of rust,noun,https://en.wiktionary.org/wiki/bucket_of_rust#English
bucket down,verb,https://en.wiktionary.org/wiki/bucket_down#English
bucket list,noun,https://en.wiktionary.org/wiki/bucket_list#English
bucket of bolts,noun,https://en.wiktionary.org/wiki/bucket_of_bolts#English
buck for,verb,https://en.wiktionary.org/wiki/buck_for#English
buckle down,verb,https://en.wiktionary.org/wiki/buckle_down#English
buckle up,verb,https://en.wiktionary.org/wiki/buckle_up#English
Buckley's and none,noun,https://en.wiktionary.org/wiki/Buckley's_and_none#English
Buckley's chance,noun,https://en.wiktionary.org/wiki/Buckley's_chance#English
buck up,interjection,https://en.wiktionary.org/wiki/buck_up#English
buff out,verb,https://en.wiktionary.org/wiki/buff_out#English
buff up,verb,https://en.wiktionary.org/wiki/buff_up#English
buff the muffin,verb,https://en.wiktionary.org/wiki/buff_the_muffin#English
bug storm,noun,https://en.wiktionary.org/wiki/bug_storm#English
bugger off,interjection,https://en.wiktionary.org/wiki/bugger_off#English
Buggins's turn,noun,https://en.wiktionary.org/wiki/Buggins's_turn#English
bug off,interjection,https://en.wiktionary.org/wiki/bug_off#English
build a case,verb,https://en.wiktionary.org/wiki/build_a_case#English
build character,verb,https://en.wiktionary.org/wiki/build_character#English
build on sand,verb,https://en.wiktionary.org/wiki/build_on_sand#English
build a better mousetrap,verb,https://en.wiktionary.org/wiki/build_a_better_mousetrap#English
build bridges,verb,https://en.wiktionary.org/wiki/build_bridges#English
build castles in the air,verb,https://en.wiktionary.org/wiki/build_castles_in_the_air#English
build up,noun,https://en.wiktionary.org/wiki/build_up#English
built like a brick outhouse,adjective,https://en.wiktionary.org/wiki/built_like_a_brick_outhouse#English
built like a brick shipyard,adjective,https://en.wiktionary.org/wiki/built_like_a_brick_shipyard#English
built different,adjective,https://en.wiktionary.org/wiki/built_different#English
built like a brick shithouse,adjective,https://en.wiktionary.org/wiki/built_like_a_brick_shithouse#English
bulk billing,noun,https://en.wiktionary.org/wiki/bulk_billing#English
bulletproof,adjective,https://en.wiktionary.org/wiki/bulletproof#English
bull session,noun,https://en.wiktionary.org/wiki/bull_session#English
"Bumfuck, Egypt",proper noun,"https://en.wiktionary.org/wiki/Bumfuck,_Egypt#English"
bump and grind,noun,https://en.wiktionary.org/wiki/bump_and_grind#English
bump in the road,noun,https://en.wiktionary.org/wiki/bump_in_the_road#English
bump into,verb,https://en.wiktionary.org/wiki/bump_into#English
bump off,verb,https://en.wiktionary.org/wiki/bump_off#English
bump up,verb,https://en.wiktionary.org/wiki/bump_up#English
bum rap,noun,https://en.wiktionary.org/wiki/bum_rap#English
bum rush,noun,https://en.wiktionary.org/wiki/bum_rush#English
bum's rush,noun,https://en.wiktionary.org/wiki/bum's_rush#English
bum steer,noun,https://en.wiktionary.org/wiki/bum_steer#English
bun fight,noun,https://en.wiktionary.org/wiki/bun_fight#English
bundle of laughs,noun,https://en.wiktionary.org/wiki/bundle_of_laughs#English
bundle off,verb,https://en.wiktionary.org/wiki/bundle_off#English
bundle of energy,noun,https://en.wiktionary.org/wiki/bundle_of_energy#English
bundle of joy,noun,https://en.wiktionary.org/wiki/bundle_of_joy#English
bundle of nerves,noun,https://en.wiktionary.org/wiki/bundle_of_nerves#English
bunker,noun,https://en.wiktionary.org/wiki/bunker#English
bunny hop,noun,https://en.wiktionary.org/wiki/bunny_hop#English
bunny hug,noun,https://en.wiktionary.org/wiki/bunny_hug#English
buoy up,verb,https://en.wiktionary.org/wiki/buoy_up#English
buried treasure,noun,https://en.wiktionary.org/wiki/buried_treasure#English
burn bread,verb,https://en.wiktionary.org/wiki/burn_bread#English
burn someone's ears,verb,https://en.wiktionary.org/wiki/burn_someone's_ears#English
burn that bridge when one comes to it,verb,https://en.wiktionary.org/wiki/burn_that_bridge_when_one_comes_to_it#English
burn a hole in someone's pocket,verb,https://en.wiktionary.org/wiki/burn_a_hole_in_someone's_pocket#English
burning question,noun,https://en.wiktionary.org/wiki/burning_question#English
burn one's bridges,verb,https://en.wiktionary.org/wiki/burn_one's_bridges#English
burn one's fingers,verb,https://en.wiktionary.org/wiki/burn_one's_fingers#English
burn out,noun,https://en.wiktionary.org/wiki/burn_out#English
burn rubber,verb,https://en.wiktionary.org/wiki/burn_rubber#English
burn the candle at both ends,verb,https://en.wiktionary.org/wiki/burn_the_candle_at_both_ends#English
burn the midnight oil,verb,https://en.wiktionary.org/wiki/burn_the_midnight_oil#English
burr in one's saddle,noun,https://en.wiktionary.org/wiki/burr_in_one's_saddle#English
burst in,verb,https://en.wiktionary.org/wiki/burst_in#English
burst into tears,verb,https://en.wiktionary.org/wiki/burst_into_tears#English
burst out laughing,verb,https://en.wiktionary.org/wiki/burst_out_laughing#English
burst someone's bubble,verb,https://en.wiktionary.org/wiki/burst_someone's_bubble#English
bury one's head in the sand,verb,https://en.wiktionary.org/wiki/bury_one's_head_in_the_sand#English
bury the lead,verb,https://en.wiktionary.org/wiki/bury_the_lead#English
bury the lede,verb,https://en.wiktionary.org/wiki/bury_the_lede#English
bush league,adjective,https://en.wiktionary.org/wiki/bush_league#English
bush telegraph,noun,https://en.wiktionary.org/wiki/bush_telegraph#English
business as usual,adjective,https://en.wiktionary.org/wiki/business_as_usual#English
business end,noun,https://en.wiktionary.org/wiki/business_end#English
business girl,noun,https://en.wiktionary.org/wiki/business_girl#English
busman's holiday,noun,https://en.wiktionary.org/wiki/busman's_holiday#English
bust a nut,verb,https://en.wiktionary.org/wiki/bust_a_nut#English
bust ass,verb,https://en.wiktionary.org/wiki/bust_ass#English
bust one's balls,verb,https://en.wiktionary.org/wiki/bust_one's_balls#English
bust the dust,verb,https://en.wiktionary.org/wiki/bust_the_dust#English
bust a cap,verb,https://en.wiktionary.org/wiki/bust_a_cap#English
bust a move,verb,https://en.wiktionary.org/wiki/bust_a_move#English
bust chops,verb,https://en.wiktionary.org/wiki/bust_chops#English
busted flush,noun,https://en.wiktionary.org/wiki/busted_flush#English
bust on,verb,https://en.wiktionary.org/wiki/bust_on#English
bust one's chops,verb,https://en.wiktionary.org/wiki/bust_one's_chops#English
busy as a nailer,adjective,https://en.wiktionary.org/wiki/busy_as_a_nailer#English
busy as a bee,adjective,https://en.wiktionary.org/wiki/busy_as_a_bee#English
busy work,noun,https://en.wiktionary.org/wiki/busy_work#English
but good,adverb,https://en.wiktionary.org/wiki/but_good#English
butcher's bill,noun,https://en.wiktionary.org/wiki/butcher's_bill#English
but seriously folks,interjection,https://en.wiktionary.org/wiki/but_seriously_folks#English
butt up,verb,https://en.wiktionary.org/wiki/butt_up#English
butter face,noun,https://en.wiktionary.org/wiki/butter_face#English
butter one's bread on both sides,verb,https://en.wiktionary.org/wiki/butter_one's_bread_on_both_sides#English
butterfingers,noun,https://en.wiktionary.org/wiki/butterfingers#English
butterfly upon a wheel,noun,https://en.wiktionary.org/wiki/butterfly_upon_a_wheel#English
butter wouldn't melt in someone's mouth,phrase,https://en.wiktionary.org/wiki/butter_wouldn't_melt_in_someone's_mouth#English
butt heads,verb,https://en.wiktionary.org/wiki/butt_heads#English
butt in,verb,https://en.wiktionary.org/wiki/butt_in#English
button nose,noun,https://en.wiktionary.org/wiki/button_nose#English
button-down,adjective,https://en.wiktionary.org/wiki/button-down#English
buttoned-down,adjective,https://en.wiktionary.org/wiki/buttoned-down#English
button one's lip,verb,https://en.wiktionary.org/wiki/button_one's_lip#English
buy a ticket to,verb,https://en.wiktionary.org/wiki/buy_a_ticket_to#English
buy up,verb,https://en.wiktionary.org/wiki/buy_up#English
buy into,verb,https://en.wiktionary.org/wiki/buy_into#English
buy out,verb,https://en.wiktionary.org/wiki/buy_out#English
buy straw hats in winter,verb,https://en.wiktionary.org/wiki/buy_straw_hats_in_winter#English
buy the farm,verb,https://en.wiktionary.org/wiki/buy_the_farm#English
buy time,verb,https://en.wiktionary.org/wiki/buy_time#English
buy to let,verb,https://en.wiktionary.org/wiki/buy_to_let#English
buzzer-beater,noun,https://en.wiktionary.org/wiki/buzzer-beater#English
buzz off,interjection,https://en.wiktionary.org/wiki/buzz_off#English
by a landslide,adverb,https://en.wiktionary.org/wiki/by_a_landslide#English
by a long way,prepositional phrase,https://en.wiktionary.org/wiki/by_a_long_way#English
by and large,adverb,https://en.wiktionary.org/wiki/by_and_large#English
by any means,prepositional phrase,https://en.wiktionary.org/wiki/by_any_means#English
by any stretch of the imagination,prepositional phrase,https://en.wiktionary.org/wiki/by_any_stretch_of_the_imagination#English
by guess or by gosh,adverb,https://en.wiktionary.org/wiki/by_guess_or_by_gosh#English
by mistake,prepositional phrase,https://en.wiktionary.org/wiki/by_mistake#English
by no stretch,prepositional phrase,https://en.wiktionary.org/wiki/by_no_stretch#English
by no stretch of imagination,prepositional phrase,https://en.wiktionary.org/wiki/by_no_stretch_of_imagination#English
by no stretch of the imagination,prepositional phrase,https://en.wiktionary.org/wiki/by_no_stretch_of_the_imagination#English
by the eye,prepositional phrase,https://en.wiktionary.org/wiki/by_the_eye#English
by the Grace of Allah,prepositional phrase,https://en.wiktionary.org/wiki/by_the_Grace_of_Allah#English
by-the-book,adjective,https://en.wiktionary.org/wiki/by-the-book#English
by-the-numbers,adjective,https://en.wiktionary.org/wiki/by-the-numbers#English
by all accounts,prepositional phrase,https://en.wiktionary.org/wiki/by_all_accounts#English
by a long shot,prepositional phrase,https://en.wiktionary.org/wiki/by_a_long_shot#English
by far,prepositional phrase,https://en.wiktionary.org/wiki/by_far#English
by halves,prepositional phrase,https://en.wiktionary.org/wiki/by_halves#English
by hand,prepositional phrase,https://en.wiktionary.org/wiki/by_hand#English
by heart,prepositional phrase,https://en.wiktionary.org/wiki/by_heart#English
by hook or by crook,prepositional phrase,https://en.wiktionary.org/wiki/by_hook_or_by_crook#English
by no means,prepositional phrase,https://en.wiktionary.org/wiki/by_no_means#English
by one's lights,prepositional phrase,https://en.wiktionary.org/wiki/by_one's_lights#English
by one's own hand,prepositional phrase,https://en.wiktionary.org/wiki/by_one's_own_hand#English
by rights,prepositional phrase,https://en.wiktionary.org/wiki/by_rights#English
by the book,prepositional phrase,https://en.wiktionary.org/wiki/by_the_book#English
by the Grace of God,prepositional phrase,https://en.wiktionary.org/wiki/by_the_Grace_of_God#English
by the numbers,prepositional phrase,https://en.wiktionary.org/wiki/by_the_numbers#English
by the same token,prepositional phrase,https://en.wiktionary.org/wiki/by_the_same_token#English
by the skin of one's teeth,prepositional phrase,https://en.wiktionary.org/wiki/by_the_skin_of_one's_teeth#English
by the way,adverb,https://en.wiktionary.org/wiki/by_the_way#English
by trade,prepositional phrase,https://en.wiktionary.org/wiki/by_trade#English
by virtue of,preposition,https://en.wiktionary.org/wiki/by_virtue_of#English
cake crumbs,noun,https://en.wiktionary.org/wiki/cake_crumbs#English
cakes and ale,noun,https://en.wiktionary.org/wiki/cakes_and_ale#English
cake walk,noun,https://en.wiktionary.org/wiki/cake_walk#English
cakewalk,noun,https://en.wiktionary.org/wiki/cakewalk#English
call an audible,verb,https://en.wiktionary.org/wiki/call_an_audible#English
call someone everything but a child of God,verb,https://en.wiktionary.org/wiki/call_someone_everything_but_a_child_of_God#English
call someone's number,verb,https://en.wiktionary.org/wiki/call_someone's_number#English
call to account,verb,https://en.wiktionary.org/wiki/call_to_account#English
call to the bar,noun,https://en.wiktionary.org/wiki/call_to_the_bar#English
call a spade a spade,verb,https://en.wiktionary.org/wiki/call_a_spade_a_spade#English
call it a day,verb,https://en.wiktionary.org/wiki/call_it_a_day#English
call it a night,verb,https://en.wiktionary.org/wiki/call_it_a_night#English
call off the dogs,verb,https://en.wiktionary.org/wiki/call_off_the_dogs#English
call on,verb,https://en.wiktionary.org/wiki/call_on#English
call out,noun,https://en.wiktionary.org/wiki/call_out#English
callout,noun,https://en.wiktionary.org/wiki/callout#English
call roll,verb,https://en.wiktionary.org/wiki/call_roll#English
call someone's bluff,verb,https://en.wiktionary.org/wiki/call_someone's_bluff#English
call up,noun,https://en.wiktionary.org/wiki/call_up#English
calm before the storm,noun,https://en.wiktionary.org/wiki/calm_before_the_storm#English
camel's nose,noun,https://en.wiktionary.org/wiki/camel's_nose#English
camel through the eye of a needle,phrase,https://en.wiktionary.org/wiki/camel_through_the_eye_of_a_needle#English
camp out,verb,https://en.wiktionary.org/wiki/camp_out#English
can of corn,noun,https://en.wiktionary.org/wiki/can_of_corn#English
canary fit,noun,https://en.wiktionary.org/wiki/canary_fit#English
canary in a coal mine,noun,https://en.wiktionary.org/wiki/canary_in_a_coal_mine#English
candle in the wind,noun,https://en.wiktionary.org/wiki/candle_in_the_wind#English
can it,verb,https://en.wiktionary.org/wiki/can_it#English
can of worms,noun,https://en.wiktionary.org/wiki/can_of_worms#English
can't get enough,verb,https://en.wiktionary.org/wiki/can't_get_enough#English
can't stand,verb,https://en.wiktionary.org/wiki/can't_stand#English
can't stand the sight of,verb,https://en.wiktionary.org/wiki/can't_stand_the_sight_of#English
can't help,verb,https://en.wiktionary.org/wiki/can't_help#English
can't wait,verb,https://en.wiktionary.org/wiki/can't_wait#English
cap in hand,adverb,https://en.wiktionary.org/wiki/cap_in_hand#English
cap it all off,verb,https://en.wiktionary.org/wiki/cap_it_all_off#English
cap over the windmill,adverb,https://en.wiktionary.org/wiki/cap_over_the_windmill#English
captain's pick,noun,https://en.wiktionary.org/wiki/captain's_pick#English
card of ten,noun,https://en.wiktionary.org/wiki/card_of_ten#English
care a button,verb,https://en.wiktionary.org/wiki/care_a_button#English
care a jackstraw,verb,https://en.wiktionary.org/wiki/care_a_jackstraw#English
care package,noun,https://en.wiktionary.org/wiki/care_package#English
carried away,adjective,https://en.wiktionary.org/wiki/carried_away#English
carrot and stick,noun,https://en.wiktionary.org/wiki/carrot_and_stick#English
carry forward,verb,https://en.wiktionary.org/wiki/carry_forward#English
carry over,verb,https://en.wiktionary.org/wiki/carry_over#English
carry the mail,verb,https://en.wiktionary.org/wiki/carry_the_mail#English
carry the message to Garcia,verb,https://en.wiktionary.org/wiki/carry_the_message_to_Garcia#English
carry through,verb,https://en.wiktionary.org/wiki/carry_through#English
carry a torch,verb,https://en.wiktionary.org/wiki/carry_a_torch#English
carry a tune,verb,https://en.wiktionary.org/wiki/carry_a_tune#English
carry coals to Newcastle,verb,https://en.wiktionary.org/wiki/carry_coals_to_Newcastle#English
carry off,verb,https://en.wiktionary.org/wiki/carry_off#English
carry on,verb,https://en.wiktionary.org/wiki/carry_on#English
carry oneself,verb,https://en.wiktionary.org/wiki/carry_oneself#English
carry one's weight,verb,https://en.wiktionary.org/wiki/carry_one's_weight#English
carry out,verb,https://en.wiktionary.org/wiki/carry_out#English
carry someone's water,verb,https://en.wiktionary.org/wiki/carry_someone's_water#English
carry the can,verb,https://en.wiktionary.org/wiki/carry_the_can#English
